TF	target	score
AHR	ZMYND8	1
AHR	EBAG9	1
AHR	MIR1204	1
AHR	EPB41L1	1
AHR	AHRR	1
AHR	MAX	1
AHR	OSBPL10	1
AHR	CCDC106	1
AHR	AGAP1	1
AHR	FAM110B	1
AHR	CYP1B1	1
AHR	BFSP1	1
AHR	HDAC7	1
AHR	PABPC1	1
AHR	STARD13	1
AHR	TPM4	1
AHR	MGLL	1
AHR	SLC25A36	1
AHR	SWT1	1
AHR	ERI3	1
AHR	MB21D2	1
AHR	KDM5A	1
AHR	STC2	1
AHR	TBL1X	1
AHR	FOS	1
AHR	FAM222B	1
AHR	HIST1H4A	1
AHR	SH3BP4	1
AHR	CYP1A2	1
AHR	DEGS1	1
AHR	ASCC2	1
AHR	GTPBP3	1
AHR	SNORD19	1
AHR	PGRMC2	1
AHR	FOXP1	1
AHR	TRAF7	1
AHR	TPCN1	1
AHR	DOCK5	1
AHR	PA2G4P4	1
AHR	GTF2F2	1
AHR	GNL3	1
AHR	AQP3	1
AHR	NR2F2	1
AHR	LPP	1
AHR	CDCA7L	1
AHR	CYP1A1	1
AHR	AJUBA	1
AHR	CPEB2	1
AHR	AHDC1	1
AHR	REL	1
AHR	HIST1H3A	1
AHR	CCNG2	1
AHR	MESDC1	1
AHR	RARG	1
AHR	EPB41	1
AHR	KALRN	1
AHR	CRNDE	1
AHR	MAN1C1	1
AHR	HIST1H2AK	1
AHR	KCNK1	1
AHR	NCOR2	1
AHR	TBC1D9	1
AHR	MIR27A	1
AR	ATM	1
AR	FAM174B	1
AR	RNF14	1
AR	ELK4	1
AR	TCF4	1
AR	ZCCHC9	1
AR	UBE3A	1
AR	FN1	1
AR	GNMT	1
AR	PC	1
AR	XRCC5	1
AR	SMAD3	1
AR	THPO	1
AR	FOS	1
AR	RUNX1	1
AR	TNFRSF1B	1
AR	NEDD9	1
AR	CASP7	1
AR	NRIP1	1
AR	WIPI1	1
AR	CREBBP	1
AR	IGF1R	1
AR	ACSL1	1
AR	ALDH1A3	1
AR	SART3	1
AR	ELF3	1
AR	NUP214	1
AR	ZBTB16	1
AR	CLK3	1
AR	NCOA2	1
AR	LCP1	1
AR	PRPS1	1
AR	NR2C1	1
AR	NCOR2	1
AR	FKBP5	1
AR	ADIPOR2	1
AR	NFKBIA	1
AR	MT2A	1
AR	PMAIP1	1
AR	AHR	1
AR	PGC	1
AR	PPARGC1A	1
AR	CASP8	1
AR	AP2M1	1
AR	SMARCA2	1
AR	STEAP2	1
AR	EGFR	1
AR	SCARB1	1
AR	RAF1	1
AR	ERBB2	1
AR	DCAF6	1
AR	HMGCS2	1
AR	FOXO1	1
AR	NPEPPS	1
AR	MRPS27	1
AR	AKR1B1	1
AR	ARMC12	1
AR	MME	1
AR	NCOA3	1
AR	PTPN1	1
AR	NCOA1	1
AR	SCNN1A	1
AR	JMJD1C	1
AR	CDKN1A	1
AR	SLC43A1	1
AR	STAT3	1
AR	EIF3I	1
AR	GSK3B	1
AR	TGIF1	1
AR	CUL4B	1
AR	BTG1	1
