miRNA	target	score
hsa-let-7a-2-3p	HAT1	1
hsa-let-7a-2-3p	ANP32B	1
hsa-let-7a-2-3p	JAG2	1
hsa-let-7a-2-3p	PTP4A1	1
hsa-let-7a-2-3p	FYN	1
hsa-let-7a-2-3p	HMGB1	1
hsa-let-7a-2-3p	EPHX4	1
hsa-let-7a-2-3p	CCNB1	1
hsa-let-7a-2-3p	CKS2	1
hsa-let-7a-2-3p	IGF1R	1
hsa-let-7a-2-3p	DLC1	1
hsa-let-7a-2-3p	RTL8A	1
hsa-let-7a-2-3p	C17orf58	1
hsa-let-7a-2-3p	BACH2	1
hsa-let-7a-2-3p	SCAMP2	1
hsa-let-7a-2-3p	TSC22D2	1
hsa-let-7a-2-3p	FBXL3	1
hsa-let-7a-2-3p	SMC3	1
hsa-let-7a-2-3p	WAC	1
hsa-let-7a-2-3p	FNDC3A	1
hsa-let-7a-2-3p	RAB3IP	1
hsa-let-7a-2-3p	SKIL	1
hsa-let-7a-2-3p	SMARCA5	1
hsa-let-7a-2-3p	RAPH1	1
hsa-let-7a-2-3p	ZCCHC2	1
hsa-let-7a-2-3p	VEZF1	1
hsa-let-7a-2-3p	RAB5C	1
hsa-let-7a-2-3p	ARID1A	1
hsa-let-7a-2-3p	POU2F1	1
hsa-let-7a-2-3p	ZNF704	1
hsa-let-7a-2-3p	CITED2	1
hsa-let-7a-2-3p	APP	1
hsa-let-7a-2-3p	ABI2	1
hsa-let-7a-2-3p	RBM27	1
hsa-let-7a-2-3p	KLF7	1
hsa-let-7a-2-3p	TP53INP1	1
hsa-let-7a-2-3p	STARD8	1
hsa-let-7a-2-3p	HMGB2	1
hsa-let-7a-2-3p	FKBP14	1
hsa-let-7a-2-3p	AGPAT5	1
hsa-let-7a-2-3p	KPNA2	1
hsa-let-7a-3p	ITGA3	1
hsa-let-7a-3p	GPRIN3	1
hsa-let-7a-3p	ZNF652	1
hsa-let-7a-3p	ARID1B	1
hsa-let-7a-3p	RORA	1
hsa-let-7a-3p	TOR1AIP2	1
hsa-let-7a-3p	MYADM	1
hsa-let-7a-3p	HMGB2	1
hsa-let-7a-3p	LCOR	1
hsa-let-7a-3p	RPS16	1
hsa-let-7a-3p	SIPA1L2	1
hsa-let-7a-3p	BTG1	1
hsa-let-7a-3p	LIN28A	1
hsa-let-7a-3p	MSMO1	1
hsa-let-7a-3p	HBP1	1
hsa-let-7a-3p	DLX2	1
hsa-let-7a-3p	ARMC8	1
hsa-let-7a-3p	PAPOLG	1
hsa-let-7a-3p	HAT1	1
hsa-let-7a-3p	SEC24A	1
hsa-let-7a-3p	BRPF3	1
hsa-let-7a-3p	GSK3B	1
hsa-let-7a-3p	DUSP6	1
hsa-let-7a-3p	CSTF2	1
hsa-let-7a-3p	WNK1	1
hsa-let-7a-3p	GABRG1	1
hsa-let-7a-3p	ANAPC16	1
hsa-let-7a-3p	VEZF1	1
hsa-let-7a-3p	SHOC2	1
hsa-let-7a-3p	ZNF181	1
hsa-let-7a-3p	ACVR2B	1
hsa-let-7a-3p	KLF10	1
hsa-let-7a-3p	ZNF800	1
hsa-let-7a-3p	E2F8	1
hsa-let-7a-3p	RNF11	1
hsa-let-7a-3p	KLHL15	1
hsa-let-7a-3p	NRBF2	1
hsa-let-7a-3p	AASDHPPT	1
hsa-let-7a-3p	PURA	1
hsa-let-7a-3p	CREBZF	1
hsa-let-7a-3p	DSG2	1
hsa-let-7a-3p	RBM12B	1
hsa-let-7a-3p	ARAP2	1
hsa-let-7a-3p	CREBRF	1
hsa-let-7a-3p	CREB1	1
hsa-let-7a-3p	ZNF585A	1
hsa-let-7a-3p	ASB11	1
hsa-let-7a-3p	EIF4A2	1
hsa-let-7a-3p	MBNL1	1
hsa-let-7a-3p	SYF2	1
hsa-let-7a-3p	IRF2BP2	1
hsa-let-7a-3p	PPP1R10	1
hsa-let-7a-3p	USF3	1
hsa-let-7a-3p	ALG10B	1
hsa-let-7a-3p	MDM2	1
hsa-let-7a-3p	CNKSR2	1
hsa-let-7a-5p	YOD1	1
hsa-let-7a-5p	C19orf47	1
hsa-let-7a-5p	GATM	1
hsa-let-7a-5p	DNA2	1
hsa-let-7a-5p	TXLNG	1
hsa-let-7a-5p	TGFBR3	1
hsa-let-7a-5p	MIB1	1
hsa-let-7a-5p	NR6A1	1
hsa-let-7a-5p	ACER2	1
hsa-let-7a-5p	SNAP23	1
hsa-let-7a-5p	CLDN12	1
hsa-let-7a-5p	STRN	1
hsa-let-7a-5p	MED28	1
hsa-let-7a-5p	GTF2I	1
hsa-let-7a-5p	NAA30	1
hsa-let-7a-5p	POLR3D	1
hsa-let-7a-5p	TMED5	1
hsa-let-7a-5p	POLL	1
hsa-let-7a-5p	AP1S1	1
hsa-let-7a-5p	RNF44	1
hsa-let-7a-5p	LIN28B	1
hsa-let-7a-5p	USP38	1
hsa-let-7a-5p	FMO4	1
hsa-let-7a-5p	DHX57	1
hsa-let-7a-5p	DUSP1	1
hsa-let-7a-5p	CDKAL1	1
hsa-let-7a-5p	AGO1	1
hsa-let-7a-5p	PEX11B	1
hsa-let-7a-5p	NME4	1
hsa-let-7a-5p	EDN1	1
hsa-let-7a-5p	KLHDC8B	1
hsa-let-7a-5p	IGF2BP3	1
hsa-let-7a-5p	NRAS	1
hsa-let-7a-5p	NEFM	1
hsa-let-7a-5p	STX3	1
hsa-let-7a-5p	PALD1	1
hsa-let-7a-5p	CDKN1A	1
hsa-let-7a-5p	SLC16A9	1
hsa-let-7a-5p	ARID3A	1
hsa-let-7a-5p	RANBP2	1
hsa-let-7a-5p	THBS1	1
hsa-let-7a-5p	KRT5	1
hsa-let-7a-5p	ATP6V1G1	1
hsa-let-7a-5p	PLEKHO1	1
hsa-let-7a-5p	SNX6	1
hsa-let-7a-5p	CPA4	1
hsa-let-7a-5p	SDR42E1	1
hsa-let-7a-5p	IGF1R	1
hsa-let-7a-5p	MDM4	1
hsa-let-7a-5p	CRY2	1
hsa-let-7a-5p	C5orf51	1
hsa-let-7a-5p	MAP4K4	1
hsa-let-7a-5p	IKZF3	1
hsa-let-7a-5p	MIEF1	1
hsa-let-7a-5p	PPP1R15B	1
hsa-let-7a-5p	EPHA4	1
hsa-let-7a-5p	LIN28A	1
hsa-let-7a-5p	PLD3	1
hsa-let-7a-5p	GRPEL2	1
hsa-let-7a-5p	LIMD2	1
hsa-let-7a-5p	EDEM3	1
hsa-let-7a-5p	TMED4	1
hsa-let-7a-5p	MTUS1	1
hsa-let-7a-5p	TUSC2	1
hsa-let-7a-5p	MSI2	1
hsa-let-7a-5p	BZW2	1
hsa-let-7a-5p	RBFOX2	1
hsa-let-7a-5p	SOCS1	1
hsa-let-7a-5p	MRS2	1
hsa-let-7a-5p	CCR7	1
hsa-let-7a-5p	CCND1	1
hsa-let-7a-5p	SMC1A	1
hsa-let-7a-5p	PLCG2	1
hsa-let-7a-5p	ONECUT2	1
hsa-let-7a-5p	TSC22D2	1
hsa-let-7a-5p	TAF9B	1
hsa-let-7a-5p	POLR2D	1
hsa-let-7a-5p	CASP3	1
hsa-let-7a-5p	ABHD17C	1
hsa-let-7a-5p	GOLGA4	1
hsa-let-7a-5p	BZW1	1
hsa-let-7a-5p	E2F2	1
hsa-let-7a-5p	ARG2	1
hsa-let-7a-5p	BCAT1	1
hsa-let-7a-5p	CNTRL	1
hsa-let-7a-5p	MLLT10	1
hsa-let-7a-5p	SURF4	1
hsa-let-7a-5p	FIGN	1
hsa-let-7a-5p	KCTD21	1
hsa-let-7a-5p	ECHDC1	1
hsa-let-7a-5p	ITGB3	1
hsa-let-7a-5p	CFL2	1
hsa-let-7a-5p	IGDCC4	1
hsa-let-7a-5p	PPP2R2A	1
hsa-let-7a-5p	FNIP1	1
hsa-let-7a-5p	NHLRC3	1
hsa-let-7a-5p	PRSS22	1
hsa-let-7a-5p	LRIG3	1
hsa-let-7a-5p	ZCCHC9	1
hsa-let-7a-5p	ZBTB5	1
hsa-let-7a-5p	GNG5	1
hsa-let-7a-5p	ZBTB8OS	1
hsa-let-7a-5p	TRIM71	1
hsa-let-7a-5p	PDP2	1
hsa-let-7a-5p	ZNF200	1
hsa-let-7a-5p	FNDC3A	1
hsa-let-7a-5p	KIAA0930	1
hsa-let-7a-5p	ABT1	1
hsa-let-7a-5p	RAB40C	1
hsa-let-7a-5p	TXLNA	1
hsa-let-7a-5p	HMGA1	1
hsa-let-7a-5p	SYT1	1
hsa-let-7a-5p	NSD1	1
hsa-let-7a-5p	SMCR8	1
hsa-let-7a-5p	KREMEN1	1
hsa-let-7a-5p	ANKRD46	1
hsa-let-7a-5p	CDC25A	1
hsa-let-7a-5p	MARS2	1
hsa-let-7a-5p	SOCS7	1
hsa-let-7a-5p	PCGF3	1
hsa-let-7a-5p	NGF	1
hsa-let-7a-5p	DICER1	1
hsa-let-7a-5p	GGA3	1
hsa-let-7a-5p	UHRF2	1
hsa-let-7a-5p	CCNT2	1
hsa-let-7a-5p	HAS2	1
hsa-let-7a-5p	PDGFB	1
hsa-let-7a-5p	SEMA4C	1
hsa-let-7a-5p	CALU	1
hsa-let-7a-5p	GPAT4	1
hsa-let-7a-5p	POTEM	1
hsa-let-7a-5p	DVL3	1
hsa-let-7a-5p	NAT8L	1
hsa-let-7a-5p	IGF2BP1	1
hsa-let-7a-5p	SLC5A6	1
hsa-let-7a-5p	NAP1L1	1
hsa-let-7a-5p	ADIPOR2	1
hsa-let-7a-5p	HMGA2	1
hsa-let-7a-5p	CCND2	1
hsa-let-7a-5p	SLC10A7	1
hsa-let-7a-5p	TAB2	1
hsa-let-7a-5p	C1GALT1	1
hsa-let-7a-5p	RRM2	1
hsa-let-7a-5p	OPA3	1
hsa-let-7a-5p	AGO4	1
hsa-let-7a-5p	E2F6	1
hsa-let-7a-5p	ESPL1	1
hsa-let-7a-5p	PLXND1	1
hsa-let-7a-5p	PEG10	1
